DEPARTMENT_GROUP,RANK_CHANGE,SCORE_CHANGE,POPULARITY_CHANGE,FIELD_RATE_mean,FIRST_RANK_mean,FIRST_SCORE_mean,DEPARTMENT_ID_count,TREND_CATEGORY
  Bilgi ve Belge Yönetimi (%50 Ýndirimli),-0.2436,0.2046,16.1667,0.6767,441764.8333,276.8467,1.3333,Strongly Growing
  Uluslararasý Ýþletme Yönetimi,0.1452,0.0007,12.0156,0.668,676310.2,250.604,1.0,Strongly Growing
  Taký Tasarýmý,-0.1145,0.1444,10.7778,0.7575,447314.0,278.5775,1.0,Strongly Growing
Gemi Ýnþaatý ve Gemi Makineleri Mühendisliði (UOLP-Strathclyde) (Ýngilizce) (UOLP) (Ücretli),0.2877,0.0319,6.8982,0.6125,59811.45,428.6425,2.0,Strongly Growing
  Ýþ Saðlýðý ve Güvenliði (%50 Ýndirimli),0.1614,0.0376,6.3333,0.7625,472976.75,249.8075,1.5,Strongly Growing
  Seyahat Ýþletmeciliði,0.1046,0.0545,6.2727,0.8383,437055.0833,278.2783,1.1667,Strongly Growing
Ýngiliz Dili ve Edebiyatý (Ýngilizce) (UOLP-Uluslararasý Saraybosna Üniversitesi) (Ücretli),0.6219,0.06,6.2381,0.53,86900.25,389.375,1.0,Strongly Growing
  Yaban Hayatý Ekolojisi ve Yönetimi,0.3114,-0.0526,4.5129,0.802,330621.6,284.102,1.0,Strongly Growing
  Tohum Bilimi ve Teknolojisi,0.0274,0.0194,4.5125,0.81,457210.0,250.178,1.0,Strongly Growing
  Süt Teknolojisi,0.0075,0.0315,3.6817,0.812,304043.7,286.414,1.8,Strongly Growing
Sanat ve Kültür Yönetimi (%50 Ýndirimli),0.2784,0.0267,3.4456,0.535,294110.75,293.6525,2.0,Strongly Growing
  Muhasebe ve Finans Yönetimi (%50 Ýndirimli),0.0679,0.0709,3.3805,0.7325,502512.2075,274.16,2.75,Strongly Growing
Biliþim Sistemleri Mühendisliði (Burslu),0.885,0.0092,3.2,0.6433,153687.25,377.06,2.0,Strongly Growing
  Ýletiþim Sanatlarý (Burslu),3.4917,0.1097,2.697,0.7775,353979.0,292.6675,1.0,Strongly Growing
  Basýn ve Yayýn (%50 Ýndirimli),-0.6668,0.6279,2.6,0.23,986120.5,227.395,1.0,Strongly Growing
  Sermaye Piyasasý (%50 Ýndirimli),0.3042,0.0555,2.4412,0.7233,550369.3333,265.1733,1.0,Strongly Growing
Egzersiz ve Spor Bilimleri (%50 Ýndirimli),0.2632,0.0067,2.3111,0.58,808001.5,236.86,1.0,Strongly Growing
  Balýkçýlýk Teknolojisi Mühendisliði,0.0267,0.0149,2.0595,0.704,375287.9,269.314,1.8,Strongly Growing
  Sigortacýlýk ve Risk Yönetimi,0.3017,-0.026,2.025,0.82,403770.4,288.074,1.0,Strongly Growing
Tütün Eksperliði,0.2797,0.0039,2.025,0.82,222909.4,321.34,1.0,Strongly Growing
  Pazarlama (ÝÖ),-0.2701,0.1644,1.871,0.73,243385.6667,313.2767,1.0,Strongly Growing
  Tarýmsal Yapýlar ve Sulama,0.0513,0.0175,1.8403,0.845,327233.04,277.5217,6.8333,Strongly Growing
  Rekreasyon (Açýköðretim),0.1082,-0.0029,1.7481,0.646,174358.6,333.9,2.0,Strongly Growing
  Ýletiþim Tasarýmý ve Yönetimi (Ýngilizce) (%50 Ýndirimli),0.2967,0.0857,1.7102,0.732,250236.1,310.944,1.6,Strongly Growing
  Sigortacýlýk ve Sosyal Güvenlik (%50 Ýndirimli),0.1556,0.0074,1.6667,0.65,604386.75,256.5325,1.0,Strongly Growing
Spor Yöneticiliði (Yüksekokul) (%50 Ýndirimli),-0.1928,0.128,1.6316,0.69,491414.0,271.575,1.0,Strongly Growing
  Tarih (Arapça),2.2049,0.0617,1.62,0.85,193451.6667,325.4683,1.0,Strongly Growing
  Tekstil ve Moda Tasarýmý (%50 Ýndirimli),0.2389,0.0093,1.6195,0.79,143235.692,345.672,3.6,Strongly Growing
  Yeni Medya ve Ýletiþim (Ýngilizce) (Ücretli),10.6965,0.1138,1.4836,0.7075,462994.3975,285.655,3.75,Strongly Growing
  Elektronik ve Haberleþme Mühendisliði (Ýngilizce) (UOLP-New Jersey Institute of Technology) (Ücretli),0.085,0.0194,1.4452,0.65,24879.2,474.312,1.0,Strongly Growing
Ýnsan Kaynaklarý Yönetimi (Ýngilizce) (%50 Ýndirimli),0.4574,0.0536,1.4283,0.6975,510883.875,279.26,1.5,Strongly Growing
  Egzersiz ve Spor Bilimleri (%50 Ýndirimli),1.5063,-0.0431,1.3653,0.716,272095.3,343.796,3.2,Strongly Growing
  Ayakkabý Tasarýmý ve Üretimi,0.0941,0.0194,1.3271,0.79,312256.0,302.398,1.0,Strongly Growing
  Maliye (Açýköðretim),0.0688,0.0268,1.3207,0.828,112294.6,359.584,1.0,Strongly Growing
  Ortez ve Protez (%50 Ýndirimli),-0.0259,0.0389,1.2652,0.7325,369755.0,267.54,1.25,Strongly Growing
  Grafik Sanatlar (Açýköðretim),0.1464,-0.0076,1.2476,0.66,139600.6,344.744,1.0,Strongly Growing
Havacýlýk Yönetimi (Yüksekokul) (%50 Ýndirimli),0.0891,0.0099,1.2302,0.748,437921.942,281.326,4.0,Strongly Growing
Pilotaj (Ücretli),-0.0259,0.0841,1.2241,0.7633,83582.8333,407.1233,2.0,Strongly Growing
  Organik Tarým Ýþletmeciliði,0.1159,0.0111,1.2098,0.802,381145.868,292.774,3.0,Strongly Growing
  Bankacýlýk ve Sigortacýlýk (%50 Ýndirimli),0.0832,0.0602,1.1818,0.805,513432.625,274.395,2.75,Strongly Growing
Antrenörlük Eðitimi (Yüksekokul) (%50 Ýndirimli),-0.5502,0.2399,1.1542,0.5433,412839.7233,280.1433,4.6667,Strongly Growing
  Sinema ve Televizyon (%50 Ýndirimli),0.7303,-0.0133,1.153,0.68,218137.788,317.988,4.0,Strongly Growing
  Siyaset Bilimi ve Kamu Yönetimi (Ýngilizce) (Açýköðretim),-0.0145,0.0248,1.0928,0.74,449348.118,284.356,13.4,Strongly Growing
Televizyon Haberciliði ve Programcýlýðý (Fakülte) (Ýngilizce) (%50 Ýndirimli),0.4784,-0.0343,1.0683,0.4925,361952.75,292.95,3.5,Strongly Growing
Ýslam Ekonomisi ve Finans(Ýngilizce)(%75 Ýndirimli  ),0.1815,-0.0087,1.0202,0.7433,373822.86,290.1717,2.5,Strongly Growing
  Ermeni Dili ve Kültürü (Ermenice),0.7667,0.0443,1.0138,0.682,51992.5,321.61,1.6,Strongly Growing
  Ýktisat (Ýngilizce) (Ücretli),0.2603,0.0507,1.0056,0.828,298982.024,309.724,10.0,Strongly Growing
  Azerbaycan Türkçesi ve Edebiyatý,2.2911,-0.0059,0.9804,0.8167,341782.5,299.15,1.0,Strongly Growing
Ergoterapi(Fakülte)(%75 Ýndirimli),0.2746,-0.0162,0.9055,0.816,318254.6,288.82,7.2,Strongly Growing
Perfüzyon (Fakülte) (%50 Ýndirimli),0.2248,-0.0411,0.8633,0.838,309898.9,291.304,1.8,Strongly Growing
  Lojistik Yönetimi,0.1193,0.0503,0.8538,0.815,424566.0025,290.2125,8.0,Strongly Growing
  Reklamcýlýk (Açýköðretim),0.678,0.0116,0.8496,0.708,85168.1,357.486,1.2,Strongly Growing
Biliþim Sistemleri Mühendisliði,0.0904,0.0384,0.8023,0.7567,130129.0283,368.825,3.5,Strongly Growing
  Elektronik ve Haberleþme Mühendisliði (Ýngilizce) (UOLP-Uluslararasý Saraybosna Üniversitesi) (Ücretli),-0.3303,0.0913,0.727,0.5225,94074.4975,398.5675,3.75,Strongly Growing
  Sosyal Hizmet (Ýngilizce) (Burslu),0.6195,-0.0407,0.6768,0.8325,833017.75,243.99,1.0,Strongly Growing
  Hindoloji,2.0667,-0.04,0.6484,0.828,16413.4,423.27,1.0,Strongly Growing
  Gýda Teknolojisi,0.216,-0.0007,0.6445,0.846,391528.266,266.65,2.2,Strongly Growing
  Hayvansal Üretim ve Teknolojileri (Ýngilizce),0.3031,-0.0222,0.6417,0.8067,341707.43,285.3167,2.3333,Strongly Growing
  Müzecilik,-0.0631,0.0422,0.64,0.8667,231981.8333,315.2067,1.3333,Strongly Growing
Su Ürünleri Mühendisliði (Ýngilizce),0.0959,0.0071,0.6368,0.8633,288225.3283,291.4633,13.5,Strongly Growing
Yönetim Biliþim Sistemleri (Fakülte) (Uzaktan Öðretim) (Ücretli),0.0323,0.0507,0.6017,0.848,239060.8,317.656,1.0,Strongly Growing
  Tarýmsal Biyoteknoloji,0.1565,-0.025,0.5944,0.8683,297829.125,294.8583,8.5,Strongly Growing
  Biyosistem Mühendisliði,0.0466,0.0154,0.5944,0.8683,311249.21,282.605,13.1667,Strongly Growing
  Kamu Yönetimi (Uzaktan Öðretim),-0.1136,0.0472,0.5625,0.85,180679.1,339.522,1.4,Strongly Growing
  Ýktisat (Açýköðretim),2.0738,-0.0351,0.5625,0.85,44112.0,399.938,2.0,Strongly Growing
  Zootekni,0.108,0.0019,0.5531,0.8683,302483.5367,288.4667,19.0,Strongly Growing
  Yiyecek ve Ýçecek Ýþletmeciliði,0.2149,-0.0,0.5531,0.8683,269805.8333,310.9467,1.8333,Strongly Growing
  Havacýlýk Yönetimi (Açýköðretim),0.6174,-0.0065,0.5156,0.8717,61655.3467,389.6967,3.3333,Strongly Growing
Ekonomi ve Finans(Burslu),0.1592,0.0094,0.5136,0.8683,295904.6133,305.305,5.5,Strongly Growing
Havacýlýk Yönetimi (Fakülte) (Ýngilizce) (%50 Ýndirimli),0.1355,0.0015,0.511,0.7933,455881.815,277.78,16.6667,Strongly Growing
  Nanobilim ve Nanoteknoloji,0.2606,-0.0217,0.5096,0.8617,282486.0,290.69,1.0,Strongly Growing
  Sosyoloji (ÝÖ),-0.0833,-0.0038,0.5055,0.652,309894.606,294.39,11.0,Strongly Growing
  Polimer Malzeme Mühendisliði,-0.0721,0.0327,0.5049,0.73,149451.8,353.5,1.6,Strongly Growing
  Elektronik Ticaret ve Yönetimi (%50 Ýndirimli),0.4803,0.0192,0.5041,0.8025,351389.3925,309.675,4.5,Strongly Growing
  Elektronik ve Haberleþme Mühendisliði (Ýngilizce) (KKTC Uyruklu),-0.1566,0.1431,0.5031,0.6725,182780.25,343.5625,2.0,Strongly Growing
  Toprak Bilimi ve Bitki Besleme,0.0765,0.009,0.4814,0.8717,329960.9333,277.6,14.1667,Strongly Growing
  Ýnþaat Mühendisliði (Ýngilizce) (UOLP-Azerbaycan Mimarlýk ve Ýnþaat Üniversitesi) (Ücretli),-0.1665,0.0479,0.4667,0.76,116438.1,379.962,2.2,Strongly Growing
  Fizik (Ýngilizce) (UOLP-Coe College) (Ücretli) ,0.0997,0.0112,0.4534,0.8325,393200.75,261.165,1.0,Strongly Growing
"  Ýngilizce, Fransýzca Mütercim ve Tercümanlýk (%50 Ýndirimli)",0.1064,0.0255,0.4514,0.7,32544.876,369.046,4.6,Strongly Growing
Finans ve Bankacýlýk (Fakülte) (KKTC Uyruklu),-0.0051,0.0243,0.4319,0.842,428003.632,285.422,31.0,Strongly Growing
Aktüerya Bilimleri (Fakülte) (Ýngilizce) (Burslu),0.0075,0.0301,0.4083,0.86,366384.2,270.564,1.0,Strongly Growing
Rekreasyon (ÝÖ),0.0627,0.0126,0.4058,0.856,321151.876,300.41,6.4,Strongly Growing
  Ýnþaat Mühendisliði (Almanca),0.0866,0.0227,0.3954,0.664,157957.736,343.65,25.2,Strongly Growing
  Çerkez Dili ve Kültürü,2.1678,-0.0094,0.3911,0.81,95215.166,351.088,2.2,Strongly Growing
  Ýbrani Dili ve Kültürü,2.0454,-0.053,0.3908,0.8,28032.8,388.898,1.0,Strongly Growing
  Ýþletme (Ýngilizce) (UOLP-SUNY Empire State College) (Ücretli) ,0.1384,0.0275,0.3789,0.802,161755.634,360.762,3.4,Strongly Growing
  Ýngiliz Dili ve Edebiyatý (Burslu),0.0518,0.0271,0.375,0.88,32605.76,371.756,1.8,Strongly Growing
  Endüstri Mühendisliði (%50 Ýndirimli),0.0861,0.0164,0.3593,0.6433,156886.4633,348.7117,7.0,Strongly Growing
Malzeme Bilimi ve Nanoteknoloji Mühendisliði (Ýngilizce),0.1008,0.0194,0.3552,0.524,115336.35,377.648,1.6,Strongly Growing
  Tekstil ve Moda Tasarýmý (Ýngilizce) (%50 Ýndirimli),0.0767,0.0125,0.3483,0.754,303796.174,299.156,9.6,Strongly Growing
Ekonometri (ÝÖ),0.0087,0.0291,0.3429,0.8733,349080.6183,296.9083,23.6667,Strongly Growing
  Tekstil ve Moda Tasarýmý (KKTC Uyruklu),0.4712,-0.0508,0.3333,0.875,1035183.75,224.7025,1.75,Strongly Growing
Sosyal Hizmet (Yüksekokul) (%50 Ýndirimli),0.1536,0.0122,0.3296,0.705,505295.2933,273.4633,6.6667,Strongly Growing
  Ýletiþim Sanatlarý (%50 Ýndirimli),1.4794,-0.0418,0.3156,0.766,373555.3,288.7,1.4,Strongly Growing
  Ýktisat (ÝÖ),-0.0123,0.0413,0.3153,0.864,363936.818,290.442,14.0,Strongly Growing
  Pazarlama,0.0015,0.0706,0.3078,0.875,370925.625,299.5625,2.0,Strongly Growing
Muhasebe ve Finans Yönetimi (Yüksekokul),0.0716,0.0125,0.3062,0.8617,372307.78,288.3033,13.0,Strongly Growing
  Bitkisel Üretim ve Teknolojileri (Ýngilizce),0.0838,0.0412,0.3032,0.8817,173673.6667,342.4983,1.6667,Strongly Growing
Çocuk Geliþimi (Yüksekokul) (%50 Ýndirimli),0.1229,0.001,0.3019,0.8517,410029.77,284.8633,18.3333,Strongly Growing
  Arkeoloji (ÝÖ),0.8047,-0.041,0.3,0.85,164435.75,339.67,1.0,Strongly Growing
  Basýn ve Yayýn (Burslu),0.2449,0.0314,0.2924,0.7,405038.1667,280.0317,1.0,Strongly Growing
Saðlýk Yönetimi (ÝÖ),-0.0704,0.0698,0.284,0.8825,248998.31,319.135,65.25,Strongly Growing
  Ýþletme (%25 Ýndirimli),0.115,-0.0086,0.282,0.8433,423421.1417,291.81,19.8333,Strongly Growing
Bankacýlýk ve Sigortacýlýk (Yüksekokul),-0.019,0.0267,0.2815,0.828,389247.69,292.362,7.6,Strongly Growing
Fizyoterapi ve Rehabilitasyon (Fakülte) (Ýngilizce) (%25 Ýndirimli),0.095,0.0007,0.2775,0.8667,302414.1617,289.275,40.3333,Strongly Growing
  Türk Dili ve Edebiyatý Öðretmenliði,0.3581,0.0437,0.2743,0.814,40266.622,346.474,2.6,Strongly Growing
  Ýnsan Kaynaklarý Yönetimi (Ýngilizce) (Ücretli),0.7444,-0.0191,0.2687,0.7,791093.1675,253.625,3.0,Strongly Growing
  Biyoteknoloji,0.0182,0.022,0.2681,0.8817,287671.4117,287.575,5.0,Strongly Growing
  Gerontoloji,-0.01,0.0104,0.2571,0.846,248637.004,306.816,4.4,Strongly Growing
  Orman Endüstrisi Mühendisliði,0.0152,0.0329,0.2563,0.8883,274571.9133,297.155,8.3333,Strongly Growing
  Tarla Bitkileri,0.0825,0.0059,0.2562,0.89,261261.4033,301.0633,27.1667,Strongly Growing
  Felsefe (Açýköðretim),0.0578,-0.0064,0.2529,0.876,72635.12,382.648,4.4,Strongly Growing
  Ýktisat (Ýngilizce) (UOLP-SUNY Cortland) (Ücretli),0.3106,0.0845,0.25,0.81,356773.5,298.708,1.4,Strongly Growing
Film Tasarýmý ve Yönetmenliði (KKTC UYRUKLU),1.7907,-0.1259,0.25,0.8333,387722.5,306.8167,1.3333,Strongly Growing
Arkeoloji(ÝÖ),0.1075,-0.0003,0.2483,0.8817,223529.3067,324.1567,37.0,Strongly Growing
  Yeni Medya,0.6608,0.0657,0.2476,0.88,110290.6667,336.22,1.0,Strongly Growing
  Balýkçýlýk Teknolojisi Mühendisliði (Ýngilizce) (Burslu),-0.0976,0.0646,0.2463,0.89,1089508.0,203.2367,1.0,Strongly Growing
Bahçe Bitkileri (Ýngilizce) (%50 Ýndirimli),0.1394,0.0146,0.2463,0.89,673483.8333,232.19,1.6667,Strongly Growing
Harita Mühendisliði,0.0445,0.0317,0.2453,0.624,166092.598,338.376,11.0,Strongly Growing
Kamu Yönetimi (ÝÖ),-0.0012,0.0222,0.2394,0.8883,278444.4367,309.6533,25.1667,Strongly Growing
  Biyomühendislik (UOLP-Montana State Üniversitesi) (Ýngilizce) (UOLP) (Ücretli),-0.0255,0.038,0.2166,0.5325,77977.25,410.86,1.0,Strongly Growing
  Film Tasarýmý ve Yönetimi (Ýngilizce) (Ücretli),0.0428,0.0427,0.2128,0.736,368860.532,320.918,3.0,Strongly Growing
  Felsefe,0.1375,-0.0014,0.2081,0.8883,283332.8117,315.5317,49.0,Strongly Growing
Ergoterapi (Fakülte) (KKTC Uyruklu),0.6139,-0.1627,0.2048,0.915,135806.75,371.915,1.5,Strongly Growing
  Sinoloji (Uzaktan Öðretim),-0.3444,0.0414,0.2045,0.91,3305.0,482.554,1.0,Strongly Growing
  Ýktisat ,0.1031,0.0073,0.2024,0.8783,309055.6283,307.2917,82.3333,Strongly Growing
  Bahçe Bitkileri,0.0542,0.0084,0.1908,0.8983,248829.665,305.3833,30.8333,Strongly Growing
Ýþ Saðlýðý ve Güvenliði (Fakülte) (%50 Ýndirimli),0.1352,-0.0032,0.1809,0.86,294880.2467,292.5833,9.1667,Strongly Growing
  Çalýþma Ekonomisi ve Endüstri Ýliþkileri (Açýköðretim),0.0417,0.0166,0.1789,0.895,350795.8917,297.1667,35.0,Strongly Growing
Aðaç Ýþleri Endüstri Mühendisliði (KKTC UYRUKLU),0.2563,0.002,0.1782,0.8917,328454.4717,290.0567,3.6667,Strongly Growing
Turizm Ýþletmeciliði (Yüksekokul) (Ýngilizce) (%50 Ýndirimli),-0.311,0.1113,0.1737,0.918,176876.97,347.684,4.8,Strongly Growing
  Hemþirelik (Ücretli),0.1364,0.0335,0.1717,0.915,341790.12,281.94,24.5,Strongly Growing
  Nükleer Enerji Mühendisliði (Ýngilizce) (KKTC Uyruklu),0.0314,0.0409,0.1702,0.68,139601.6,360.14,1.4,Strongly Growing
  Jeofizik Mühendisliði,0.2253,0.0194,0.1604,0.8983,69256.1817,427.7533,3.0,Strongly Growing
  Finans ve Bankacýlýk (Ýngilizce) (%50 Ýndirimli),0.356,0.0197,0.1577,0.82,588331.07,273.2375,9.5,Strongly Growing
  Sosyal Hizmet (%50 Ýndirimli),0.0405,0.0772,0.1542,0.7817,196466.63,336.725,13.5,Strongly Growing
  Kentsel Tasarým ve Peyzaj Mimarlýðý (%50 Ýndirimli),0.2066,-0.0072,0.1535,0.8833,295380.8617,295.995,3.6667,Strongly Growing
Finans ve Bankacýlýk (Ýngilizce) (%50 Ýndirimli),0.9234,-0.0952,0.1525,0.5925,377754.4475,295.1575,6.0,Strongly Growing
  Peyzaj Mimarlýðý,0.0326,0.0179,0.1511,0.905,282714.6183,290.5183,33.6667,Strongly Growing
Acil Yardým ve Afet Yönetimi (Fakülte) (ÝÖ),0.0537,0.0159,0.1511,0.9033,294394.2967,286.8383,18.8333,Strongly Growing
  Fizik,0.0189,0.0214,0.1472,0.8967,241255.365,312.995,39.6667,Strongly Growing
Sosyal ve Siyasal Bilimler (%75 Ýndirimli),0.297,0.02,0.1468,0.926,391828.566,296.772,2.2,Strongly Growing
  Uluslararasý Ticaret ve Finansman (%50 Ýndirimli),-0.0117,0.0424,0.1464,0.852,533105.476,269.55,4.0,Strongly Growing
Turizm Ýþletmeciliði (Fakülte) (Ýngilizce),0.181,0.0011,0.1352,0.895,332197.255,300.0783,38.0,Strongly Growing
Þehir ve Bölge Planlama(Ýngilizce),0.0706,0.0031,0.1345,0.9067,253935.9783,305.3883,27.6667,Strongly Growing
Acil Yardým ve Afet Yönetimi (Ýngilizce) (Burslu),1.1019,0.0041,0.1344,0.736,203482.8,335.306,2.4,Strongly Growing
Sosyal Hizmet (Açýköðretim),0.1983,-0.0064,0.1344,0.9083,72680.8333,377.0733,4.0,Strongly Growing
  Çevre Mühendisliði,0.0878,0.0131,0.1343,0.6267,162908.185,347.8467,12.1667,Strongly Growing
  Ýstatistik ve Bilgisayar Bilimleri (Ýngilizce) (Ücretli),-0.1549,0.0502,0.1329,0.93,378573.7767,283.45,2.3333,Strongly Growing
  Basým Teknolojileri,0.0657,0.008,0.1327,0.898,242074.0,305.918,1.0,Strongly Growing
Ekonometri (KKTC Uyruklu),0.4027,-0.0291,0.125,0.9,622130.2,252.3,1.0,Strongly Growing
Veterinerlik (Ýngilizce) (KKTC Uyruklu),0.6291,-0.0079,0.125,0.9,366217.75,293.154,2.8,Strongly Growing
Uçak Gövde ve Motor Bakýmý (Yüksekokul) (%25 Ýndirimli),0.0305,0.022,0.125,0.9,215900.4,320.408,1.0,Strongly Growing
  Bilgi ve Belge Yönetimi (KKTC Uyruklu),0.2745,-0.0469,0.125,0.9,1019102.2,227.762,1.0,Strongly Growing
Siyaset Bilimi ve Uluslararasý Ýliþkiler (Açýköðretim),4.0602,-0.014,0.1237,0.844,168079.2,369.184,2.4,Strongly Growing
  Gümrük Ýþletme,0.0884,0.0103,0.1196,0.91,269175.9167,310.5233,4.8333,Strongly Growing
  Ýþletme ,0.0358,0.0135,0.1186,0.9,261838.9867,316.6117,91.5,Strongly Growing
  Hidrojeoloji Mühendisliði,0.1973,0.0087,0.1169,0.7867,122898.41,377.2567,9.6667,Strongly Growing
  Biyomühendislik,0.0472,0.0197,0.1163,0.7183,143660.8567,362.535,7.3333,Strongly Growing
  Moleküler Biyoloji ve Genetik (%50 Ýndirimli),0.0765,0.0037,0.1127,0.9133,224045.455,315.6733,7.0,Strongly Growing
Çaðdaþ Türk Lehçeleri ve Edebiyatlarý (ÝÖ),0.0072,0.0171,0.1112,0.8733,234074.555,319.8683,20.3333,Strongly Growing
Yönetim Biliþim Sistemleri(Fakülte)(Ýngilizce)(%50 Ýndirimli),0.0191,0.0173,0.1108,0.904,229169.544,321.114,17.6,Strongly Growing
Ýnsan Kaynaklarý Yönetimi (Fakülte) (%50 Ýndirimli),-0.0103,0.0251,0.1087,0.9067,336432.465,300.5233,10.0,Growing
  Ýktisat (Ýngilizce) (Açýköðretim),37.8291,-0.0259,0.1087,0.83,254293.9733,358.7283,3.0,Growing
Yeni Medya ve Gazetecilik(Fakülte)(%75 Ýndirimli),0.078,0.0589,0.1087,0.8767,215920.81,315.4067,3.0,Growing
  Uçak Bakým ve Onarým (%50 Ýndirimli),-0.1565,0.1188,0.1053,0.94,219521.25,318.555,2.0,Growing
  Uçak Gövde ve Motor Bakýmý (Ýngilizce) (%50 Ýndirimli),-0.1309,0.145,0.1053,0.94,132828.875,370.7475,1.25,Growing
  Optik ve Akustik Mühendisliði (Ýngilizce),0.391,-0.0048,0.102,0.2125,183773.5,336.9375,1.0,Growing
  Ýþletme (ÝÖ),0.0086,0.0285,0.1017,0.904,268502.816,311.41,12.6,Growing
Pilotaj (Fakülte) (Ýngilizce) (Ücretli),1.6113,-0.0198,0.0988,0.875,154521.6567,397.4767,7.8333,Growing
Tekstil ve Moda Tasarýmý (Burslu),0.0592,0.0212,0.0961,0.905,316845.0,301.77,7.6667,Growing
  Spor Yöneticiliði (ÝÖ),0.0505,0.0061,0.0955,0.902,258940.116,313.826,20.0,Growing
Gayrimenkul Geliþtirme ve Yönetimi (Yüksekokul) (Ýngilizce) (%50 Ýndirimli),0.352,-0.0138,0.0942,0.8833,183097.5,323.5167,1.3333,Growing
  Biliþim Sistemleri Mühendisliði (Ýngilizce) (UOLP-SUNY Binghamton) (Ücretli),0.3231,0.0171,0.0926,0.7817,56559.195,443.245,2.1667,Growing
  Antropoloji,0.2262,-0.0042,0.0888,0.8733,244914.035,321.575,7.8333,Growing
  Ýslami Ýlimler (Arapça) (M.T.O.K.) ,0.2383,0.0353,0.0885,0.9175,338217.3225,296.3125,41.75,Growing
  Makine Mühendisliði (Ücretli),-0.1565,0.0466,0.0884,0.89,142521.7,376.02,2.8,Growing
Turizm Rehberliði (Fakülte) (%50 Ýndirimli),-0.0246,0.0591,0.0882,0.772,37852.8,341.59,2.0,Growing
  Psikoloji (%50 Ýndirimli),0.2575,-0.011,0.0878,0.8567,307113.08,305.2833,46.3333,Growing
  Siyaset Bilimi ve Kamu Yönetimi (Ýngilizce) (%50 Ýndirimli),0.2968,-0.0073,0.0848,0.8467,233509.8533,326.0133,9.3333,Growing
  Bilgisayar Mühendisliði (Ýngilizce) (KKTC Uyruklu),0.0293,0.0515,0.084,0.8533,229605.9317,321.0583,7.1667,Growing
  Havacýlýk Yönetimi (Ýngilizce) (Ücretli),2.2,-0.0529,0.0808,0.88,288615.546,341.518,16.4,Growing
  Çocuk Geliþimi (Açýköðretim),1.449,-0.0291,0.0784,0.9233,72540.4167,388.525,2.1667,Growing
  Türk Halkbilimi,-0.0092,0.0306,0.0782,0.9167,152704.8667,343.4617,5.0,Growing
