DEPARTMENT_GROUP,RANK_CHANGE,SCORE_CHANGE,POPULARITY_CHANGE,FIELD_RATE_mean,FIRST_RANK_mean,FIRST_SCORE_mean,DEPARTMENT_ID_count,TREND_CATEGORY
  Bulgar Dili ve Edebiyatý (Bulgarca),0.6238,0.0158,0.0011,0.9833,35010.5,353.6883,1.0,Stable
  Fizik Öðretmenliði ,0.0253,0.0226,0.0008,0.99,108187.4717,381.7983,4.5,Stable
Coðrafya(ÝÖ),0.0423,0.0132,0.0008,0.9883,84002.5167,357.0067,48.8333,Stable
Ýngilizce Mütercim ve Tercümanlýk (%25 Ýndirimli),0.1771,-0.0017,0.0007,0.974,16611.88,422.208,85.6,Stable
  Siyaset Bilimi ve Uluslararasý Ýliþkiler (Fransýzca) (%50 Ýndirimli),0.332,0.0257,0.0007,0.99,120966.0,356.946,1.2,Stable
  Mühendislik ve Doða Bilimleri Programlarý (Ýngilizce) (%50 Ýndirimli),-0.118,0.034,0.0007,0.9867,45360.205,464.63,5.6667,Stable
Uluslararasý Giriþimcilik (%50 Ýndirimli),-0.2017,0.0803,0.0007,0.99,183392.6,334.204,1.2,Stable
Tekstil Mühendisliði(M.T.O.K.),0.0643,0.0165,0.0006,0.8867,110914.8967,388.245,46.6667,Stable
  El Sanatlarý,0.0842,0.0251,0.0005,0.9917,56729.0833,368.8283,1.8333,Stable
  Rehberlik ve Psikolojik Danýþmanlýk (Ýngilizce) (%50 Ýndirimli),-0.1107,0.0253,0.0005,0.8917,66712.5483,386.4283,12.1667,Stable
  Ortez ve Protez (Ankara),0.5429,-0.0741,0.0004,0.992,204038.0,333.332,1.0,Stable
Endüstriyel Tasarým (Fakülte) (Ýngilizce) (%50 Ýndirimli),0.0828,0.0401,0.0004,0.99,51687.1267,448.1567,9.6667,Stable
  Sinema ve Televizyon (Ýngilizce) (%50 Ýndirimli),1.6369,0.0016,0.0003,0.9933,78178.56,404.1033,4.5,Stable
  Odyoloji (Ankara),0.1648,0.0053,0.0003,0.9925,185837.75,330.125,1.0,Stable
Hemþirelik(Fakülte)(Ýngilizce)(%50 Ýndirimli),-0.1723,0.0821,0.0003,0.992,130291.772,368.414,13.8,Stable
  Tarým Ekonomisi,0.0005,0.0166,0.0003,0.9933,223332.6483,318.6783,21.8333,Stable
Ýngilizce Öðretmenliði (Ýngilizce) (%50 Ýndirimli),0.0197,0.0184,0.0002,0.9917,20953.6683,407.6717,72.0,Stable
  Hungaroloji,0.4155,0.0172,0.0002,0.995,22865.8333,388.5417,1.0,Stable
  Çaðdaþ Yunan Dili ve Edebiyatý,0.0358,0.0118,0.0002,0.98,14781.2917,424.09,5.5,Stable
Reklamcýlýk (ÝÖ),-0.0019,0.0282,0.0002,0.9933,76259.8417,368.92,4.6667,Stable
  Deniz Ulaþtýrma Ýþletme Mühendisliði (KKTC Uyruklu),-0.0742,0.0358,0.0002,0.995,102551.2367,388.355,8.0,Stable
Lojistik Yönetimi (Fakülte) (Ýngilizce),1.9522,-0.1407,0.0002,0.9933,311989.15,317.22,22.3333,Stable
  Grafik Tasarýmý,0.0289,0.0152,0.0002,0.995,197861.25,323.7483,2.0,Stable
  Ortez ve Protez,0.1249,-0.028,0.0002,0.994,202367.9,325.106,2.0,Stable
  Matematik (Fransýzca),-0.0417,0.0115,0.0002,0.995,12831.5,491.3917,1.0,Stable
Ýlahiyat(ÝÖ),0.0607,0.0115,0.0001,0.9967,29724.5967,402.41,68.8333,Stable
  Alman Dili ve Edebiyatý (Almanca) (ÝÖ),-0.0262,0.0198,0.0001,0.9967,14310.97,426.955,8.8333,Stable
Ýstatistik (Ýngilizce),-0.3973,0.0488,0.0001,0.996,19551.8,479.234,1.0,Stable
  Adli Bilimler,0.1157,0.0264,0.0001,0.995,88081.5,396.705,1.0,Stable
  Coðrafya (Ýngilizce),0.0352,0.0314,0.0001,0.996,8206.4,417.472,1.0,Stable
  Leh Dili ve Edebiyatý (Lehçe),0.0198,0.0116,0.0001,0.996,15699.0,423.708,1.8,Stable
  Maliye (Ýngilizce),0.0809,0.0103,0.0001,0.9967,139446.5,342.0367,1.3333,Stable
  Bitkisel Üretim ve Teknolojileri (Ýngilizce) (%50 Ýndirimli),-0.2827,0.1241,0.0001,0.9967,480179.7767,271.6833,2.3333,Stable
Veterinerlik (Ýngilizce) (Burslu),-0.0644,0.0265,0.0001,0.9967,61521.0,431.2683,2.1667,Stable
  Moleküler Biyoteknoloji (Almanca),-0.0988,0.0261,0.0001,0.9967,39381.25,451.8783,2.0,Stable
  Fotonik,0.0919,0.0596,0.0001,0.995,122635.25,369.115,1.0,Stable
  Psikoloji (Ýngilizce),0.1148,-0.0073,0.0001,0.995,55444.055,423.5133,15.6667,Stable
  Ýþletme (Almanca)  ,-0.1647,0.0273,0.0001,0.9967,15222.0,430.0,3.0,Stable
Uzay Bilimleri ve Teknolojileri (KKTC UYRUKLU),0.3289,-0.0155,0.0001,0.9967,199836.1117,328.2667,2.1667,Stable
  Politika ve Ekonomi (Ýngilizce),-0.1036,0.0208,0.0001,0.9967,12858.3333,425.1583,1.0,Stable
  Saðlýk Yönetimi (Ankara),7.9634,0.0625,0.0001,0.995,176391.25,344.555,1.0,Stable
  Ýngiliz Dilbilimi (Ýngilizce),0.2655,0.0202,0.0001,0.9967,5165.1117,475.975,2.8333,Stable
  Sigortacýlýk ve Aktüerya Bilimleri,-0.0601,0.0777,0.0001,0.995,369687.5,299.5325,1.0,Stable
Uçak Gövde ve Motor Bakýmý (Yüksekokul),0.0324,0.0046,0.0001,0.996,76193.186,415.904,4.8,Stable
  Hemþirelik (Ankara),0.0655,0.0525,0.0001,0.995,94401.625,392.6625,1.75,Stable
  Adli Biliþim Mühendisliði (ÝÖ),-0.0608,0.0335,0.0,0.9983,151158.5,351.3433,1.8333,Declining
Ýlahiyat (Ýngilizce),0.1169,0.032,0.0,1.0,2378.75,454.455,3.0,Declining
Ýþ Saðlýðý ve Güvenliði (Yüksekokul) (ÝÖ),0.7672,-0.1109,0.0,1.0,374340.75,254.75,1.5,Declining
  Aile ve Tüketici Bilimleri,0.2922,0.0389,0.0,1.0,174258.0,332.62,1.0,Declining
Kontrol ve Otomasyon Mühendisliði(KKTC Uyruklu),-0.2262,0.0232,0.0,1.0,14159.3083,492.9367,3.5,Declining
Kurgu-Ses ve Görüntü Yönetimi(KKTC Uyruklu),0.1599,0.0386,0.0,1.0,70332.3,360.148,1.2,Declining
Hemþirelik (Yüksekokul) (Ýngilizce) (%50 Ýndirimli),0.1636,0.0329,0.0,1.0,269753.85,285.035,15.5,Declining
"  Kurgu, Ses ve Görüntü Yönetimi (KKTC Uyruklu)",1.5135,-0.0933,0.0,1.0,444043.75,283.795,1.0,Declining
  Kore Dili ve Edebiyatý (Korece),0.181,0.0297,0.0,1.0,3162.5,482.015,1.0,Declining
  Klasik Arkeoloji,0.0896,0.025,0.0,1.0,94455.1117,366.005,3.0,Declining
  Kimya-Biyoloji Mühendisliði (Ýngilizce) (Ücretli),-0.9005,0.1868,0.0,1.0,28762.0,485.87,2.0,Declining
  Kimya Öðretmenliði (Ýngilizce) (KKTC Uyruklu),0.1672,-0.028,0.0,1.0,114963.625,389.185,1.25,Declining
  Havacýlýk Yönetimi (Ücretli),0.1092,0.0007,0.0,1.0,841055.3333,255.8667,1.6667,Declining
  Halkla Ýliþkiler ve Tanýtým (Ýngilizce) (Burslu),1.3821,-0.0271,0.0,1.0,2138.065,466.315,4.0,Declining
Hemþirelik (ÝÖ),-0.0023,0.043,0.0,0.9975,90277.1175,398.4175,110.0,Declining
Çocuk Geliþimi (Ankara),-0.026,0.0749,0.0,1.0,149049.6667,332.3567,1.0,Declining
  Bilgisayar Bilimleri,0.0527,0.0129,0.0,0.9983,57303.0,429.66,2.3333,Declining
  Beslenme ve Diyetetik (Ücretli),0.1022,0.0206,0.0,0.9975,155080.185,354.6075,72.75,Declining
  Batý Dilleri (Ýngiliz Dili ve Edebiyatý) ,0.2067,-0.0083,0.0,1.0,49803.1667,317.2333,1.0,Declining
  Görsel Ýletiþim Tasarýmý (Açýköðretim),0.8361,0.0128,0.0,1.0,11936.0,411.1625,1.0,Declining
  Görsel Sanatlar ve Ýletiþim Tasarýmý (Burslu),0.3046,0.0259,0.0,1.0,113012.8,342.346,1.0,Declining
  Görsel Sanatlar (Ücretli),-0.2204,0.1974,0.0,0.2,1276884.0,204.425,1.0,Declining
  Görsel Sanatlar (M.T.O.K.),0.1807,-0.0064,0.0,1.0,313732.5,295.265,1.8333,Declining
  Grafik Tasarýmý (M.T.O.K.),0.1068,0.0197,0.0,1.0,329078.5833,294.3167,1.3333,Declining
  Ýktisat (Fransýzca),-0.158,0.0134,0.0,1.0,701.0,495.3633,1.0,Declining
  Ýngilizce Öðretmenliði (Ýngilizce) (UOLP-SUNY New Paltz) (Ücretli),-0.0454,0.0296,0.0,1.0,13679.75,422.155,2.0,Declining
  Ýngilizce Öðretmenliði (Ýngilizce) (UOLP-SUNY New Paltz) (%50 Ýndirimli),0.5712,-0.0168,0.0,1.0,23476.4283,397.725,5.1667,Declining
Uluslararasý Ýþletme Yönetimi (Ýngilizce) (UOLP-ABD North Carolina Üniversitesi (UNCW)) (Ücretli),0.0404,0.0182,0.0,1.0,244249.6667,319.81,1.5,Declining
Uluslararasý Ulaþtýrma Sistemleri (Ýngilizce) (Burslu),-0.3273,0.036,0.0,1.0,107665.3333,342.5933,1.0,Declining
Uluslararasý Týp,0.2377,0.004,0.0,1.0,5996.0,504.78,1.0,Declining
Uluslararasý Ticaret(Fakülte)(%75 Ýndirimli),0.3773,0.0002,0.0,1.0,263112.585,315.575,8.5,Declining
  Sermaye Piyasasý (Burslu),0.6183,-0.0127,0.0,0.998,221865.768,330.676,2.4,Declining
  Sanat ve Sosyal Bilimler Programlarý (Ýngilizce) (%50 Ýndirimli),0.1758,0.0126,0.0,0.9983,11675.2767,470.7567,3.1667,Declining
  Sanat Tarihi (Uzaktan Öðretim),0.6511,0.035,0.0,1.0,3156.4,445.572,1.0,Declining
  Ýspanyol Dili ve Edebiyatý (Ýspanyolca),0.2132,-0.0071,0.0,0.9983,5321.0833,470.0333,3.0,Declining
  Ýslami Ýlimler (Arapça) (%50 Ýndirimli),0.411,0.0237,0.0,0.9983,60791.7783,370.0033,3.3333,Declining
Tekstil Tasarýmý (M.T.O.K.),0.1163,0.0221,0.0,1.0,666013.0,253.14,1.0,Declining
Tarýmsal Yapýlar ve Sulama (KKTC UYRUKLU),0.5257,0.0445,0.0,1.0,593508.0,227.405,1.0,Declining
Tarih (Ýngilizce),0.0649,-0.0001,0.0,1.0,5705.4617,508.6167,14.6667,Declining
Veterinerlik  ,0.0183,0.0124,0.0,0.9983,72303.24,414.88,29.1667,Declining
Uçak Gövde-Motor Bakým(Fakülte)(KKTC Uyruklu),-0.2464,0.1636,0.0,1.0,84386.0,399.75,5.5,Declining
Uçak Gövde ve Motor Bakýmý (Yüksekokul) (Ýngilizce) (%25 Ýndirimli),-0.1852,0.0917,0.0,1.0,90846.674,399.308,3.2,Declining
Sosyal ve Siyasal Bilimler(Burslu),-0.0466,0.1398,0.0,1.0,405914.0,283.56,1.0,Declining
  Þehir ve Bölge Planlama (KKTC Uyruklu),0.12,0.0755,0.0,1.0,627089.75,241.55,1.0,Declining
  Ýþletme (Ýngilizce) (UOLP-SUNY New Paltz) (%50 Ýndirimli),-0.3438,0.0317,0.0,1.0,10080.8333,439.0783,1.3333,Declining
  Ýþletme (Ýngilizce) (UOLP-SUNY Binghamton) (%50 Ýndirimli),-0.3515,0.0316,0.0,1.0,7491.8333,446.0733,1.0,Declining
  Ýþletme (Fransýzca),0.0224,0.0139,0.0,1.0,308.0833,507.7233,2.0,Declining
  Ýþletme (Açýköðretim),83.7696,-0.1997,0.0,1.0,47516.335,431.455,2.0,Declining
  Ýç Mimarlýk ve Çevre Tasarýmý (Ýngilizce) (Burslu),3.9685,-0.331,0.0,1.0,618389.095,297.585,24.5,Declining
  Ýstatistik ve Bilgisayar Bilimleri (Ýngilizce) (%50 Ýndirimli),0.1741,-0.015,0.0,1.0,377871.585,284.055,2.5,Declining
Uluslararasý Ýþletmecilik ve Ticaret(Fakülte)(Ýngilizce)(%50 Ýndirimli),-0.154,0.0354,0.0,1.0,149849.465,346.815,8.0,Declining
Sosyal Hizmet (Yüksekokul) (Burslu),0.1644,0.0212,0.0,1.0,243033.335,307.285,9.0,Declining
Sosyal Hizmet (Ankara),0.0618,0.0653,0.0,1.0,171179.0,325.9,1.0,Declining
  Ýç Mimarlýk (KKTC Uyruklu),1.4124,-0.0566,0.0,1.0,561807.8667,271.0333,7.6667,Declining
Basýn ve Yayýn,-0.4842,0.0117,0.0,1.0,30487.3333,372.0267,1.0,Declining
Arapça Mütercim ve Tercümanlýk (Fakülte) (Burslu),1.875,-0.1046,0.0,1.0,45388.4575,357.6625,3.25,Declining
Aktüerya Bilimleri (KKTC Uyruklu),0.206,0.057,0.0,1.0,714949.3175,231.91,2.5,Declining
Sýnýf Öðretmenliði (Burslu),-0.0343,0.0141,0.0,0.9983,56273.4917,385.7583,82.1667,Declining
Su Ürünleri Mühendisliði (KKTC Uyruklu),0.0753,0.1093,0.0,1.0,646366.0,231.415,1.0,Declining
  Sümeroloji,1.3808,0.0104,0.0,1.0,24273.8333,392.945,1.0,Declining
  Su Bilimleri ve Mühendisliði ,0.1645,0.0153,0.0,0.9983,128406.5,362.7433,1.0,Declining
  Finans ve Bankacýlýk (KKTC Uyruklu),0.4302,-0.0951,0.0,1.0,777920.3333,260.0233,1.0,Declining
  Film Tasarýmý ve Yönetmenliði,-0.1579,0.0246,0.0,1.0,7042.1667,420.0767,1.0,Declining
  Ýlahiyat (Arapça),0.3187,0.0169,0.0,1.0,24557.4283,414.1917,6.1667,Declining
  Ergoterapi (KKTC Uyruklu),0.2416,-0.0409,0.0,1.0,780562.5,230.6367,1.6667,Declining
  Sosyoloji (Fransýzca),-0.0535,0.0106,0.0,1.0,2689.5,463.4233,1.0,Declining
  Sosyal Hizmet (KKTC Uyruklu),0.0574,-0.0248,0.0,1.0,1163209.5,227.8367,1.3333,Declining
  Sosyal Bilgiler Öðretmenliði (Burslu),0.0153,0.0104,0.0,1.0,30492.6783,386.21,64.3333,Declining
  Siyaset Bilimi (Fransýzca),-0.0459,0.0078,0.0,1.0,1738.6667,474.24,1.0,Declining
  Siyasal Bilimler (Ücretli),-0.0269,-0.0287,0.0,1.0,533660.1667,277.1167,1.3333,Declining
Uçak Gövde ve Motor Bakýmý (Fakülte) (KKTC Uyruklu),1.9826,-0.0554,0.0,1.0,281868.0,334.565,1.0,Declining
"  Radyo, Televizyon ve Sinema (Uzaktan Öðretim)",6.3905,-0.0062,0.0,0.998,28643.2,411.312,2.6,Declining
  Genetik ve Yaþam Bilimleri Programlarý (Ýngilizce) (Burslu),0.0126,0.0222,0.0,1.0,7544.5883,501.045,3.0,Declining
  Gemi ve Deniz Teknolojisi Mühendisliði,0.0776,0.0147,0.0,1.0,42026.5,447.4617,1.1667,Declining
Veterinerlik (Kiraz),0.43,0.1017,0.0,1.0,68933.0,404.1,1.0,Declining
Veterinerlik (Ereðli),0.0861,-0.0111,0.0,1.0,100727.2,388.742,1.4,Declining
Biyoloji (UOLP-Gence Devlet Üniversitesi) (Ücretli),-0.0682,-0.0305,0.0,1.0,421983.0,271.64,1.0,Declining
  Fransýz Dili ve Edebiyatý (Fransýzca),-0.0182,0.0072,0.0,0.9983,8745.0983,460.4167,3.5,Declining
  Fotoðraf ve Video,-0.0128,0.015,0.0,1.0,26378.1667,392.9833,2.0,Declining
  Psikoloji (ÝÖ),3.4277,-0.0283,0.0,1.0,56617.75,388.9175,1.0,Declining
  Pilotaj,-0.2792,0.0294,0.0,1.0,968.25,531.7375,1.0,Declining
Yeni Medya (Yüksekokul),-0.7818,0.1678,0.0,1.0,144098.5,332.025,1.0,Declining
Bitki Koruma (KKTC UYRUKLU),0.6158,-0.0749,0.0,1.0,228695.5,334.9467,1.3333,Declining
Biliþim Sistemleri ve Teknolojileri (Fakülte) (Ýngilizce) (%50 Ýndirimli),0.1708,0.029,0.0,1.0,122383.085,351.405,7.5,Declining
Beslenme ve Diyetetik (Yüksekokul) (Ýngilizce) (Burslu),0.4838,-0.0422,0.0,1.0,116644.72,372.475,5.0,Declining
Beslenme ve Diyetetik (Yüksekokul) (Ýngilizce) (%50 Ýndirimli),0.1315,0.0175,0.0,1.0,239267.5,297.585,1.5,Declining
Eczacýlýk,0.0317,0.0065,0.0,1.0,29406.1167,464.8333,27.8333,Declining
Ebelik(Yüksekokul)(Burslu),0.0242,0.0942,0.0,1.0,124655.28,364.09,25.0,Declining
Ebelik (Fakülte) (Burslu),-0.0215,0.1087,0.0,1.0,180566.36,324.21,11.5,Declining
Diþ Hekimliði(UOLP-Saðlýk Bilimleri Üniversitesi)(T.C. Vatandaþlarý)(Burslu),0.0868,0.0016,0.0,1.0,37555.1383,453.1417,2.5,Declining
Saðlýk Yönetimi (Fakülte) (Ankara),0.2022,0.0324,0.0,1.0,249715.41,313.645,62.0,Declining
Siyaset Bilimi ve Kamu Yönetimi (Ýngilizce) (UOLP-Suny Cortland) (Ücretli),0.46,0.005,0.0,1.0,364970.65,294.24,1.6,Declining
Siyaset Bilimi (Fransýzca) (KKTC Uyruklu),-0.4023,0.1277,0.0,1.0,112840.5,371.675,2.0,Declining
Siber Güvenlik Mühendisliði (Ýngilizce),-0.9906,0.614,0.0,1.0,109536.0,430.34,1.0,Declining
Diþ Hekimliði (Burslu) ,0.9168,0.0041,0.0,1.0,28474.835,471.81,8.0,Declining
Diþ Hekimliði (Ankara) (Erkek) (Milli Savunma Bakanlýðý Adýna),0.0357,0.0094,0.0,1.0,26872.4433,467.7533,3.3333,Declining
Türkçe Öðretmenliði(Ücretli),0.0507,0.0046,0.0,0.9983,13001.3633,416.555,87.3333,Declining
  Uçak Bakým ve Onarým (Ücretli),0.1449,0.0106,0.0,1.0,156410.542,349.412,4.0,Declining
  Tiyatro Eleþtirmenliði ve Dramaturji,0.2786,0.0133,0.0,1.0,30570.5,401.2033,1.8333,Declining
  Tarým Makineleri ve Teknolojileri Mühendisliði (Ýngilizce) (%50 Ýndirimli),-0.1496,0.0586,0.0,1.0,348721.5,288.12,1.3333,Declining
  Tarým Ekonomisi (KKTC Uyruklu),0.4702,0.0134,0.0,1.0,686289.4,248.582,1.2,Declining
  Ýtalyan Dili ve Edebiyatý (Ýtalyanca) (KKTC Uyruklu),0.5302,-0.0873,0.0,1.0,52413.5,336.805,1.0,Declining
Turizm Rehberliði (Fakülte) (Burslu),-0.7868,0.0858,0.0,1.0,72865.35,352.645,44.0,Declining
  Ebelik,0.0199,0.0422,0.0,0.9975,153672.055,350.25,46.0,Declining
  Diþ Hekimliði,0.0664,0.0034,0.0,1.0,22227.8317,475.8783,59.6667,Declining
  Dilbilimi,0.011,0.0155,0.0,0.9983,12017.9917,434.4767,4.3333,Declining
  Ýletiþim ve Tasarýmý (Burslu),0.5023,-0.0158,0.0,1.0,43899.5,390.265,7.0,Declining
  Taký Tasarýmý ve Ýmalatý,0.0063,-0.0149,0.0,1.0,310524.0,313.2967,1.0,Declining
Diþ Hekimliði (Ankara),0.0447,0.0054,0.0,1.0,23416.5,472.6917,1.0,Declining
Dil ve Konuþma Terapisi (Yüksekokul) (Ücretli),0.2402,0.0476,0.0,1.0,135067.165,378.815,3.0,Declining
Dijital Oyun Tasarýmý (KKTC Uyruklu),3.9466,-0.3688,0.0,1.0,248037.335,344.37,3.5,Declining
Coðrafya (Ýngilizce)KKTC Uyruklu,1.359,0.0687,0.0,1.0,343409.89,294.23,1.6667,Declining
  Cevher Hazýrlama Mühendisliði,0.1961,0.0394,0.0,1.0,66094.0,419.4333,1.0,Declining
  Peyzaj Mimarlýðý (Ýngilizce) (Burslu),0.9234,-0.0265,0.0,0.9983,189854.6667,358.4833,1.6667,Declining
  Ortez ve Protez (Burslu),-0.0122,0.0231,0.0,1.0,195450.1,327.874,1.4,Declining
  Geleneksel Türk Sanatlarý (%50 Ýndirimli),0.0306,-0.0102,0.0,0.36,769581.0,254.15,1.0,Declining
Eczacýlýk (Ankara),0.0547,0.004,0.0,1.0,39340.8333,450.1967,1.0,Declining
Felsefe(Ýngilizce)(Burslu),0.2006,0.0072,0.0,1.0,30649.5133,429.8683,4.5,Declining
Ergoterapi (Yüksekokul) (Burslu),-0.1808,0.1664,0.0,1.0,169588.5,329.13,1.5,Declining
Ergoterapi (Fakülte) (Ankara),0.5235,0.0086,0.0,1.0,112501.545,374.285,10.0,Declining
Enerji Sistemleri Mühendisliði (KKTC Uyruklu),0.0335,0.0182,0.0,1.0,165226.68,334.682,3.6,Declining
Rekreasyon Yönetimi (Yüksekokul),0.8838,-0.1145,0.0,1.0,200580.915,319.71,5.0,Declining
Rekreasyon Yönetimi (M.T.O.K.),0.2165,0.0921,0.0,1.0,352063.3333,288.8767,1.3333,Declining
  Ergoterapi (Ankara),0.0006,0.0486,0.0,0.9975,133187.75,359.7625,1.0,Declining
  Enerji Yönetimi,0.1186,0.0126,0.0,1.0,143735.4,342.88,1.0,Declining
Uluslararasý Ticaret ve Finansman (Yüksekokul),0.0546,0.051,0.0,1.0,289811.04,312.87,8.0,Declining
  Uluslararasý Giriþimcilik (Burslu),-0.2244,0.0304,0.0,1.0,2123.3333,475.8733,1.0,Declining
  Film Tasarýmý ve Yazarlýðý,0.4945,0.0091,0.0,1.0,11644.3333,407.6517,1.0,Declining
  Felsefe (KKTC Uyruklu),0.1522,0.0489,0.0,1.0,584308.2,267.056,1.0,Declining
  Rus ve Ýngiliz Dilleri ve Edebiyatlarý (Öðretmenlik) (Ücretli),0.6964,-0.1375,0.0,0.1,73396.25,255.185,1.5,Declining
  Rus Dili ve Edebiyatý (Rusça) (Uzaktan Öðretim),-0.1246,0.0296,0.0,1.0,2791.0,486.526,1.2,Declining
  Özel Eðitim Öðretmenliði (Ücretli),-0.0455,0.0086,0.0,1.0,10851.16,431.5133,58.6667,Declining
  Çocuk Geliþimi (ÝÖ),-0.0296,0.0541,0.0,1.0,159679.7625,337.7175,25.75,Declining
  Çin Dili ve Edebiyatý (Çince),-0.1047,0.0339,0.0,1.0,5021.8333,472.1483,1.1667,Declining
  Çaðdaþ Yunan Dili ve Edebiyatý (KKTC Uyruklu),0.3248,0.0636,0.0,1.0,38779.4317,354.9467,6.8333,Declining
Endüstriyel Tasarým (Fakülte) (KKTC Uyruklu),0.0204,0.1137,0.0,1.0,196977.235,346.545,9.0,Declining
Endüstri Ürünleri Tasarýmý(Fakülte)(%50 Ýndirimli),0.079,0.0669,0.0,1.0,159797.135,349.24,14.5,Declining
Elektrik-Elektronik Mühendisliði (UOLP-Azerbaycan Teknik Üniversitesi) (Ücretli),-0.221,-0.0119,0.0,1.0,83123.5,412.1,1.0,Declining
  Metalurji ve Malzeme Mühendisliði (Ýngilizce) (Burslu),0.0085,0.0144,0.0,1.0,70422.6667,412.9683,1.0,Declining
  Mekatronik Mühendisliði (Almanca) (KKTC Uyruklu),-0.2042,0.0688,0.0,1.0,230077.3333,325.5133,1.0,Declining
  Medya ve Görsel Sanatlar (Ýngilizce) (Ücretli),-0.1135,0.0171,0.0,1.0,605.6667,475.4983,1.0,Declining
  Bankacýlýk,-0.0676,0.0172,0.0,1.0,145214.2,341.644,1.0,Declining
Týp (Ankara),1.9697,-0.0078,0.0,1.0,4123.8,515.072,1.0,Declining
Týp,0.0754,0.0027,0.0,1.0,8055.0283,506.8483,79.5,Declining
  Endüstri Mühendisliði (Almanca),-0.036,0.0064,0.0,1.0,38778.26,455.458,2.6,Declining
  Emlak ve Emlak Yönetimi,0.7951,-0.0786,0.0,1.0,334983.0,317.3633,1.0,Declining
  Yazýlým Geliþtirme (Ýngilizce) (Ücretli),3.69,-0.1186,0.0,1.0,81691.5,425.745,2.0,Declining
  Uluslararasý Ýþletme Yönetimi (Almanca) (%50 Ýndirimli),0.0842,0.0336,0.0,1.0,49914.3333,396.2767,2.0,Declining
  Tapu Kadastro ,0.0264,0.0226,0.0,0.9983,159097.4167,339.5733,2.0,Declining
  Uzay ve Uydu Mühendisliði,0.4766,-0.0038,0.0,1.0,95353.75,397.6475,1.0,Declining
  Uluslararasý Ýþletme Yönetimi (Almanca) (UOLP- FH KIEL Uygulamalý Bilimler Üniversitesi) (Ücretli),-0.45,0.1303,0.0,1.0,218244.8333,340.3517,1.0,Declining
  Ziraat Mühendisliði Programlarý,0.208,0.0434,0.0,1.0,187199.5833,331.8283,1.3333,Declining
  Yönetim Biliþim Sistemleri (Ýngilizce) (Burslu),0.7827,-0.1495,0.0,1.0,134418.935,377.265,12.0,Declining
  Yerel Yönetimler,0.6175,-0.0161,0.0,1.0,128989.5,348.0967,1.0,Declining
  Yazýlým Mühendisliði (Ýngilizce) (UOLP-Sam Houston State) (Ücretli),-0.092,0.039,0.0,1.0,58779.8333,426.0383,1.0,Declining
  Malzeme Bilimi ve Mühendisliði (Ýngilizce) (Burslu),-0.0729,0.1105,0.0,1.0,91746.6667,393.35,1.0,Declining
Fizyoterapi ve Rehabilitasyon (Yüksekokul) (Ýngilizce) (%50 Ýndirimli),0.1093,0.0128,0.0,1.0,270323.75,286.84,1.5,Declining
Fizyoterapi ve Rehabilitasyon (Yüksekokul) (Ücretli),0.2954,0.0453,0.0,1.0,184734.335,334.24,10.5,Declining
Gemi Makineleri Ýþletme Mühendisliði (KKTC UYRUKLU),0.0299,0.0356,0.0,1.0,56922.7,432.2825,4.0,Declining
Geleneksel Türk Sanatlarý (M.T.O.K.),4.6434,-0.0762,0.0,1.0,154319.3333,329.7433,1.0,Declining
Fransýzca Öðretmenliði(Fransýzca),0.0844,0.0083,0.0,1.0,15850.842,411.924,8.2,Declining
  Bilim Tarihi,-0.1101,0.0364,0.0,1.0,107244.0833,361.8483,1.6667,Declining
  Bilgisayar Mühendisliði (M.T.O.K.) (ÝÖ),-0.0252,0.0554,0.0,1.0,172038.4,332.116,1.2,Declining
  Bilgisayar Mühendisliði (Fransýzca),0.1721,0.0038,0.0,1.0,2505.0,525.458,1.4,Declining
Psikoloji(ÝÖ),0.08,0.0032,0.0,1.0,35701.91,404.4333,50.5,Declining
